,RandomForest,XGBoost,CatBoost
L8_SR_B5_m12,0.0001714640310591596,0.0021722512,0.09067850986198871
L8_SR_B6_m01,0.0002105127157460375,0.0,0.01855605942484643
L8_SR_B6_m02,0.0007373829482590575,0.0,0.0
L8_SR_B6_m03,0.001578861763604558,0.0020861696,0.008125159507936444
L8_SR_B6_m04,0.0016388163643025427,0.0,0.0749923239716684
L8_SR_B6_m05,0.0013881143246113207,0.0,0.23329841137110732
L8_SR_B6_m06,0.0004212759256372734,0.00044787404,0.04177447534412367
L8_SR_B6_m07,0.00025244368187940096,0.0014188229,0.5930014308410712
L8_SR_B6_m08,0.00016159319305991416,0.0,0.5357772433978711
L8_SR_B6_m09,0.00023830755124287534,0.008160566,0.01345223604368457
L8_SR_B6_m10,0.0005319668214150638,0.00094308495,0.0
L8_SR_B6_m11,6.956821498782814e-05,0.00032427968,0.07101794239961964
L8_SR_B6_m12,0.0005277506306520321,0.0030158637,0.16327073588237456
L8_SR_B7_m01,0.000519185860396147,0.0,0.0
L8_SR_B7_m02,0.000318995646271898,0.0014096398,0.003250019604650775
L8_SR_B7_m03,0.00031735356767004463,0.0015302924,0.0
L8_SR_B7_m04,0.0005717072343776001,0.0,0.4223780687488052
L8_SR_B7_m05,0.00048678987485649346,0.0,0.046721532638289605
L8_SR_B7_m06,0.000196521521562432,0.0005366621,0.5110751892698305
L8_SR_B7_m07,0.007993712334722305,0.0015215062,0.0452163880927625
L8_SR_B7_m08,0.003570378000322118,3.893579e-05,0.550026332584284
L8_SR_B7_m09,0.008860467180231342,0.0,0.18018772339301212
L8_SR_B7_m10,0.00032163710573163796,0.0012996009,0.19666887211641865
L8_SR_B7_m11,0.0004289521490098488,0.0001384946,0.0
L8_SR_B7_m12,0.00039083969625995104,0.0,0.11824505870406263
L8_ST_B10_m01,0.00040898102300165293,0.0012288913,0.0
L8_ST_B10_m02,0.0002407718457560155,0.0,0.14304580806111916
L8_ST_B10_m03,0.0002493430553124085,0.0015494453,0.39489921518504567
L8_ST_B10_m04,0.0004030681245302517,0.002829718,0.13946560215075238
L8_ST_B10_m05,0.0007893244967488466,0.003136003,0.026528099951387534
L8_ST_B10_m06,0.0012965106370653576,0.0010897896,0.08693940481392376
L8_ST_B10_m07,0.0008272339518555848,0.0015855908,0.020566137275754136
L8_ST_B10_m08,0.0005864229026069996,0.0034070052,0.4451771660523971
L8_ST_B10_m09,0.0010475402591421303,0.0030092602,0.060580350776770646
L8_ST_B10_m10,0.00036137728379516854,0.0012308933,0.0
L8_ST_B10_m11,0.0006211533909438074,0.0012212612,0.3244383225339728
L8_ST_B10_m12,0.0001150749238005295,0.00026424616,0.015530284860596062
S1_VH_m01,0.00014318872405955598,0.0,0.32157426389077726
S1_VH_m02,0.0006778080335956569,0.0035403825,0.624608124107765
S1_VH_m03,0.0004669834945650648,0.0017912984,0.010897484013766286
S1_VH_m04,0.00033891102169704293,0.0004208143,0.2831173320491452
S1_VH_m05,0.0005451246302389142,0.0023154847,0.0
S1_VH_m06,0.0007081039043420449,0.0015348775,0.07571934535547026
S1_VH_m07,0.0017308884862943133,0.00300117,0.8211374740272686
S1_VH_m08,0.00036733406763669315,0.0,0.0
S1_VH_m09,0.0002309880322015942,0.0007664113,0.17719945025811967
S1_VH_m10,0.00030744769756678594,0.00202052,0.8698253891831582
S1_VH_m11,0.00020143589950227925,0.0,0.0
S1_VH_m12,0.0009226463488904445,0.0031426102,0.07261850190302283
S1_VH_minus_VV_m01,0.0008413370216588657,0.00041393813,0.054036333988202206
S1_VH_minus_VV_m02,0.002957704673611699,0.000755992,0.8964434580502686
S1_VH_minus_VV_m03,0.0002845010359279991,0.0025600635,0.4806510653774168
S1_VH_minus_VV_m04,0.00014298308679306404,0.0,0.0
S1_VH_minus_VV_m05,0.00041486516248484746,0.00064279896,0.4424664798668888
S1_VH_minus_VV_m06,0.0008524514717376041,0.00057891035,0.016029724452424874
S1_VH_minus_VV_m07,0.0003939806586676135,0.00061135803,0.10816693924294836
S1_VH_minus_VV_m08,0.0003579204883742839,0.001118443,0.03935784511719598
S1_VH_minus_VV_m09,0.0004073754757608687,0.0005610939,0.7059896046060485
S1_VH_minus_VV_m10,0.00034330806567127507,0.0010087533,0.06464287772283497
S1_VH_minus_VV_m11,0.0003840952179700324,0.00060662645,0.02911439160947042
S1_VH_minus_VV_m12,0.0014013420918605798,0.0014452367,0.10783373219022639
S1_VV_m01,0.00022657196818452058,0.0,0.0
S1_VV_m02,0.0003448858151744421,0.0,0.08459542694422675
S1_VV_m03,0.00022473655121403715,0.00060805393,0.0
S1_VV_m04,0.0011872132460529034,0.0007963936,0.6464015759313565
S1_VV_m05,0.000855096717511052,0.0019763168,0.21338493007641343
S1_VV_m06,0.011123446772619084,0.0026062613,3.6289048830627033
S1_VV_m07,0.0012028129747949329,0.00027940705,0.2216555671563811
S1_VV_m08,0.00034526509267584647,0.00043986738,0.4113270414151556
S1_VV_m09,0.0004810108389531279,0.0003481868,0.0
S1_VV_m10,0.0008619416671317532,0.0016091304,0.00843268379189417
S1_VV_m11,0.0002904459900832027,0.0014364927,0.6246229282073718
S1_VV_m12,0.0003841079919209464,0.0005071724,0.08313908172279073
S2_B11_m01,0.0003844674816169945,0.0,0.6455819673122081
